 2016-01-18 09:00:01|186| 8|    1033|    8|         감정(126)
 2016-01-18 10:00:06|186| 9|     963|    6|      대악마(111)
 2016-01-18 11:00:00|186|10|    1353|   12|         카토(177)
 2016-01-18 12:00:01|186|11|    1112|    8|      정휘인(138)
 2016-01-18 13:00:01|186|12|    1772|   12|         카토(179)
 2016-01-18 14:00:10|187| 1|    1438|   15|         카토(157)
 2016-01-18 15:00:02|187| 2|    1527|    9|         카토(162)
 2016-01-18 16:00:13|187| 3|    2028|   14|   북두칠성(256)
 2016-01-18 17:00:02|187| 4|    1737|   15|         카토(171)
 2016-01-18 18:00:01|187| 5|    1721|   15|         장임(302)
 2016-01-18 19:00:01|187| 6|    1229|   10|         카토(167)
 2016-01-18 20:00:25|187| 7|    2143|   19|           SARS(261)
 2016-01-18 21:00:16|187| 8|    1596|   16|      박일아(164)
 2016-01-18 22:00:01|187| 9|    1624|   14|      박일아(303)
 2016-01-18 23:00:02|187|10|    2508|   21|      북오더(222)
 2016-01-19 00:00:01|187|11|    2033|   19|      박일아(159)
 2016-01-19 01:00:00|187|12|    1381|   10|      북오더(198)
 2016-01-19 02:00:32|188| 1|     891|    9|         장임(123)
 2016-01-19 03:00:01|188| 2|    1617|    9|      북오더(354)
 2016-01-19 04:00:01|188| 3|     877|    2|           SARS(168)
 2016-01-19 05:00:01|188| 4|     451|    1|         장임(104)
 2016-01-19 06:00:01|188| 5|     269|    1|          장임(35)
 2016-01-19 07:00:01|188| 6|     371|    2|         장임(136)
 2016-01-19 08:00:02|188| 7|     426|    3|       박일아(95)
 2016-01-19 09:00:08|188| 8|     477|    8|       박일아(73)
 2016-01-19 10:00:00|188| 9|     888|    5|      박일아(123)
 2016-01-19 11:00:26|188|10|     747|   10|    카이사르(66)
 2016-01-19 12:00:24|188|11|     920|   10|      박일아(141)
 2016-01-19 13:00:01|188|12|    1210|   12|      하루카(219)
 2016-01-19 14:00:07|189| 1|    1942|   23|      정휘인(285)
 2016-01-19 15:00:26|189| 2|    1833|   13|바닥을탁치고(139)
 2016-01-19 16:00:01|189| 3|    1269|   11|      정휘인(136)
 2016-01-19 17:00:02|189| 4|    1351|   10|      북오더(154)
 2016-01-19 18:00:01|189| 5|     899|    9|       하루카(84)
 2016-01-19 19:00:52|189| 6|    1253|    7|바닥을탁치고(230)
 2016-01-19 20:00:12|189| 7|    1156|   16|      하루카(157)
 2016-01-19 21:00:45|189| 8|    1079|    9|      박일아(140)
 2016-01-19 22:00:09|189| 9|    1756|   16|      박일아(277)
 2016-01-19 23:00:06|189|10|    1858|   15|         진리(244)
 2016-01-20 00:00:08|189|11|    1403|   11|         니쉬(103)
 2016-01-20 01:00:14|189|12|    1665|   11|     Navy마초(219)
 2016-01-20 02:00:01|190| 1|    1660|   11|      북오더(178)
 2016-01-20 03:00:20|190| 2|    1906|   11|      북오더(460)
 2016-01-20 04:00:15|190| 3|    1481|    6|      북오더(205)
 2016-01-20 05:00:08|190| 4|    1575|    8|      하루카(319)
 2016-01-20 06:00:31|190| 5|     877|    4|      하루카(270)
 2016-01-20 07:00:08|190| 6|     852|    4|      하루카(285)
 2016-01-20 08:00:01|190| 7|    1211|   10|      하루카(341)
 2016-01-20 09:00:01|190| 8|     928|    8|      하루카(205)
 2016-01-20 10:00:30|190| 9|    1269|   12|         카토(122)
 2016-01-20 11:00:01|190|10|    1517|    8|           SARS(221)
 2016-01-20 12:00:06|190|11|    2050|   18|           SARS(234)
 2016-01-20 13:00:11|190|12|    2168|   11|           SARS(295)
 2016-01-20 14:00:01|191| 1|    2293|   15|      박일아(368)
 2016-01-20 15:00:13|191| 2|    1700|    9|      박일아(175)
 2016-01-20 16:00:01|191| 3|    1594|   17|         진리(220)
 2016-01-20 17:00:01|191| 4|    2867|    8|           SARS(466)
 2016-01-20 18:00:14|191| 5|    1938|   17|         장임(182)
 2016-01-20 19:00:07|191| 6|    1882|   14|      하루카(261)
 2016-01-20 20:00:01|191| 7|    1660|   13|      정휘인(229)
 2016-01-20 21:00:11|191| 8|    1294|   11|바닥을탁치고(130)
 2016-01-20 22:00:07|191| 9|    1657|   13|         니쉬(214)
 2016-01-20 23:00:02|191|10|    1823|   12|         장임(224)
